Website,Treatment,FP,FCP,LT,Joules,Trial
58_gravatar,prefixed,614.2,720.7,984.0,3.2887404,7
58_gravatar,prefixed,569.5,569.5,792.0,3.8237507999999996,8
59_soundcloud,prefixed,630.1,684.3,1699.0,7.0196832,0
59_soundcloud,prefixed,761.4,761.5,1750.0,8.2473408,1
59_soundcloud,prefixed,821.3,821.4,1622.0,5.8868064,2
59_soundcloud,prefixed,2884.3,2884.4,3918.0,8.9030592,3
59_soundcloud,prefixed,688.8,780.2,1611.0,6.6074399999999995,4
59_soundcloud,prefixed,632.1,737.1,1588.0,4.95558,5
59_soundcloud,prefixed,701.1,701.2,1572.0,4.467887999999999,6
59_soundcloud,prefixed,782.5,782.6,1709.0,4.7049444,7
59_soundcloud,prefixed,632.1,693.1,1695.0,4.6556064,8
59_soundcloud,prefixed,644.0,716.0,1590.0,4.9724496,9
60_europa,prefixed,775.7,775.7,829.0,3.711902399999999,0
60_europa,prefixed,4022.3,4022.4,4043.0,5.647788,1
60_europa,prefixed,2149.3,2149.4,2272.0,4.459773599999999,2
60_europa,prefixed,1167.2,1167.3,1195.0,3.6812880000000003,3
60_europa,prefixed,609.4,609.4,639.0,3.0212352,4
60_europa,prefixed,605.8,605.8,658.0,3.2415336,5
60_europa,prefixed,601.0,601.1,655.0,3.1313844,6
60_europa,prefixed,2333.3,2333.3,2352.0,4.813992000000001,7
60_europa,prefixed,567.5,567.6,626.0,5.6111832,8
64_apache,prefixed,518.3,518.3,738.0,4.40496,0
64_apache,prefixed,507.4,537.0,752.0,5.0039208,1
64_apache,prefixed,516.3,516.4,750.0,4.2958188,2
64_apache,prefixed,466.4,520.7,699.0,4.6097855999999995,3
64_apache,prefixed,471.6,522.5,688.0,4.642002,4
64_apache,prefixed,554.1,633.0,778.0,4.7364156,5
64_apache,prefixed,518.0,3469.7,723.0,5.11407,6
64_apache,prefixed,510.1,584.6,732.0,4.594795199999999,7
64_apache,prefixed,508.8,508.8,1010.0,5.45076,8
67_twitch,prefixed,416.0,426.7,1930.0,8.2756368,0
67_twitch,prefixed,413.3,413.5,1651.0,8.196372,1
67_twitch,prefixed,499.5,499.6,1660.0,8.039052,2
67_twitch,prefixed,472.2,550.0,1690.0,7.7873399999999995,3
67_twitch,prefixed,460.3,540.8,1865.0,8.42337,4
67_twitch,prefixed,439.0,439.1,1835.0,8.493336000000001,5
67_twitch,prefixed,564.5,564.6,1853.0,8.026992,6
67_twitch,prefixed,530.6,530.8,1750.0,8.526744,7
67_twitch,prefixed,500.2,500.3,1799.0,8.762724,8
68_csdn,prefixed,1195.1,1195.1,2690.0,6.1211484,0
68_csdn,prefixed,1209.3,1209.5,3081.0,8.229718799999999,1
68_csdn,prefixed,1394.1,1394.1,3017.0,5.7762864,2
68_csdn,prefixed,1272.8,1272.9,2943.0,6.119748,3
68_csdn,prefixed,1277.7,1277.8,3095.0,5.974056,4
68_csdn,prefixed,1498.5,1498.6,3153.0,7.049548799999999,5
68_csdn,prefixed,1546.4,1546.5,3104.0,6.341446800000001,6
68_csdn,prefixed,1428.0,1428.1,3169.0,6.2834148,7
68_csdn,prefixed,1325.4,1325.4,3174.0,5.8995,8
71_w3,prefixed,548.5,548.5,574.0,3.7284840000000004,0
71_w3,prefixed,494.6,494.7,581.0,3.5090388000000003,1
71_w3,prefixed,461.4,461.5,576.0,3.2722559999999996,2
71_w3,prefixed,536.2,536.3,562.0,3.5803692,3
71_w3,prefixed,519.1,519.1,613.0,3.7136016000000005,4
71_w3,prefixed,527.9,528.0,552.0,3.225798,5
71_w3,prefixed,475.8,475.9,583.0,3.5885376,6
72_office365,prefixed,783.0,783.0,1860.0,4.821318,0
72_office365,prefixed,762.0,762.0,1532.0,4.452156,1
72_office365,prefixed,815.8,815.9,1586.0,4.4689103999999995,2
72_office365,prefixed,1402.2,1402.3,2581.0,6.0424704,3
72_office365,prefixed,752.0,752.1,1545.0,4.72068,4
72_office365,prefixed,801.3,801.4,1574.0,4.3587612,5
72_office365,prefixed,737.3,737.3,1564.0,4.830829199999999,6
72_office365,prefixed,947.1,947.2,1636.0,5.1309792000000005,7
72_office365,prefixed,796.4,796.4,1643.0,4.563324,8
75_medium,prefixed,559.9,560.1,4769.0,8.1102816,0
